0|000403|20190331|0.089300|20190430|20181116||20171206|20190511|34.31|20181018||
0|000404|20190331|0.018800|20190420|20180306|||20190115|15.73|||
0|000407|20190331|0.040000|20190427|20190319|20190319||20190213|583.31|20180619||
0|000408|20190331|0.060000|20190430|20190624|20190625|20180629|||20190429||
0|000409|20190331|-0.089700|20190423|20190531|20190514|20190114|||20190509||
0|000410|20190331|-0.590000|20190429|20190412|20190117|20171017|20190322|-4000.00|20180619||
0|000411|20190331|0.147000|20190429|20180926|||||20180626|20190429|1
0|000413|20190331|0.080000|20190430|20190419|20190419|20170817|20180801|8067.80|20180619||
0|000415|20190331|0.205000|20190430|20170413||20180117|20190507|-3177.29|20180717||
0|000416|20190331|0.014000|20190430|20190620|20190620||||20180619||
0|000417|20190331|0.153800|20190426|20151223|||||||
0|000419|20190331|0.078000|20190427|20160728|20190130||||20190130||
0|000420|20190331|0.009600|20190430|20171208||20180615|20190604|-1.12|||
0|000421|20190331|0.013900|20190426|20180917|||||||
0|000422|20190331|0.002000|20190430|20190516||20180507|20190128|3108.65|20190517||
0|000423|20190331|0.601200|20190430|20151221|||20190510|654.01|20180502||
0|000425|20190331|0.128000|20190430|20171226|||20190604|27.70|20150119||
0|000426|20190331|-0.015400|20190430|20190220|20190415|20180619|20190318|-3430.88|20181011||
0|000428|20190331|-0.070000|20190427|20180921|||20190611|-500.00|20180619||
0|000429|20190331|0.170000|20190427|20170412|||||||
0|000430|20190331|-0.020500|20190427|20151027|||||||
0|000488|20190331|-0.037000|20190430|20161128|20190415||20190619|0.10|||
0|000498|20190331|0.092700|20190424|20181106|||20180914|-1131.20|20180803||
0|000501|20190331|0.390000|20190427|20151223|||20190610|-2.00|||
0|000502|20190331|0.000800|20190427|20170523|20190326|20180601|||20170717||
0|000503|20190331|-0.055400|20190427|20190408|20190411|20190322|20190218|-0.11|20190506||
0|000504|20190331|-0.020000|20190430|20190509|20190620|20180104|||20190618||
0|000505|20190331|0.040000|20190427|20190611|20190605|20171215|||20180410||
0|000506|20190331|0.026100|20190427|20190618|20190626|20180228|||20190506||
0|000507|20190331|0.010300|20190430|20190219|20190219|20171129|||20180619||
0|000509|20190331|-0.003400|20190427|20190618|20190618|20180530|20190529|-136.80|20190506||
0|000510|20190331|0.043100|20190412|20190419|||||20141223||
0|000513|20190331|0.550000|20190426|20151112|||20181010|-0.10|||
0|000514|20190331|0.019600|20190425|20190411|20190412||||20190506||
0|000516|20190331|0.010000|20190425|20180417||20180102|20190312|-0.07|20190425||
0|000517|20190331|0.184100|20190430|20190320|||20181116|-3.50|20181011||
0|000518|20190331|-0.012400|20190430|20190617|20190619||20190221|-2151.68|20181011||
0|000519|20190331|0.051600|20190430|20180411|||20190506|0.01|20170717||
